model,hyperparameters,aggregate,average_rmse_arousal,average_rmse_valence
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}","['mean', 'std', 'max', 'min']",0.7534039431169756,1.927313389845331
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6}",['min'],0.9294850763224334,1.6696553125656137
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}",['min'],1.2128944934407178,1.0894148956724707
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",1.2368817212241356,0.7883977838721515
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10}","['mean', 'std', 'max', 'min']",0.6298113787138496,1.5027180784848053
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}","['mean', 'std', 'max', 'min']",0.6391830210092976,1.2793893886706076
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}",['min'],1.1033331328657485,0.9191143795456022
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}","['mean', 'std', 'max', 'min']",1.3055941143074687,0.7105365725631784
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.9785560263106537,1.3893537940074887
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10}",['min'],0.9863374034297644,0.9124698018171457
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}","['mean', 'std', 'max', 'min']",0.884538775456264,2.168887617940817
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}",['min'],1.0460779154153237,2.045365792756252
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10}","['mean', 'std', 'max', 'min']",0.7112261087737131,1.1801478260933764
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6}","['mean', 'std', 'max', 'min']",0.7666186201956399,1.1114605578203032
